time,open,high,low,close,tick_volume,spread,real_volume
2025-07-23 08:53:00,1.17328,1.1733500000000001,1.17318,1.17329,40,2,0
2025-07-23 08:54:00,1.17329,1.17329,1.17312,1.17314,45,2,0
2025-07-23 08:55:00,1.17313,1.1733500000000001,1.17313,1.17328,74,2,0
2025-07-23 08:56:00,1.17329,1.17329,1.17319,1.17327,95,2,0
2025-07-23 08:57:00,1.17327,1.17333,1.17315,1.17331,80,2,0
2025-07-23 08:58:00,1.17331,1.1734,1.17326,1.17338,110,2,0
2025-07-23 08:59:00,1.17338,1.17338,1.1732,1.17327,112,2,0
2025-07-23 09:00:00,1.17327,1.17351,1.17322,1.1734499999999999,139,2,0
2025-07-23 09:01:00,1.1734499999999999,1.17355,1.1734,1.17343,139,2,0
2025-07-23 09:02:00,1.17342,1.17343,1.17318,1.17324,88,2,0
2025-07-23 09:03:00,1.17326,1.1733500000000001,1.1732,1.17332,46,2,0
2025-07-23 09:04:00,1.17332,1.17334,1.17327,1.17327,38,2,0
2025-07-23 09:05:00,1.17327,1.1733500000000001,1.17323,1.17327,70,2,0
2025-07-23 09:06:00,1.17327,1.1734,1.17323,1.17325,79,2,0
2025-07-23 09:07:00,1.17323,1.17327,1.17312,1.17324,58,2,0
2025-07-23 09:08:00,1.17324,1.17331,1.1732,1.1733,31,2,0
2025-07-23 09:09:00,1.17331,1.17343,1.17328,1.17334,58,2,0
2025-07-23 09:10:00,1.17334,1.1734,1.1732,1.1732,58,2,0
2025-07-23 09:11:00,1.1732,1.17329,1.17319,1.17326,31,2,0
2025-07-23 09:12:00,1.17326,1.17326,1.17319,1.1732,35,2,0
2025-07-23 09:13:00,1.17324,1.17338,1.17324,1.17336,48,2,0
2025-07-23 09:14:00,1.17337,1.17344,1.17336,1.17344,53,2,0
2025-07-23 09:15:00,1.17344,1.17346,1.17333,1.1734,53,2,0
2025-07-23 09:16:00,1.1734,1.1734,1.17323,1.17324,59,2,0
2025-07-23 09:17:00,1.17324,1.17324,1.17317,1.17319,55,2,0
2025-07-23 09:18:00,1.17319,1.1733,1.1731,1.1733,40,2,0
2025-07-23 09:19:00,1.1733,1.1734499999999999,1.1733,1.17339,48,2,0
2025-07-23 09:20:00,1.1734,1.1734499999999999,1.17323,1.17329,76,2,0
2025-07-23 09:21:00,1.17329,1.17329,1.17318,1.17319,85,2,0
2025-07-23 09:22:00,1.17319,1.17331,1.17315,1.17316,40,2,0
2025-07-23 09:23:00,1.17316,1.17318,1.17305,1.17306,50,2,0
2025-07-23 09:24:00,1.17306,1.17318,1.17306,1.17315,51,2,0
2025-07-23 09:25:00,1.17315,1.17315,1.17304,1.17313,56,2,0
2025-07-23 09:26:00,1.17313,1.17322,1.1730800000000001,1.1732,55,2,0
2025-07-23 09:27:00,1.17322,1.17322,1.17314,1.17317,64,2,0
2025-07-23 09:28:00,1.17317,1.17325,1.17315,1.17318,69,2,0
2025-07-23 09:29:00,1.17318,1.17326,1.17315,1.17325,72,2,0
2025-07-23 09:30:00,1.17325,1.17338,1.17325,1.17338,103,2,0
2025-07-23 09:31:00,1.17338,1.17343,1.17334,1.17339,68,2,0
2025-07-23 09:32:00,1.1734,1.1735,1.17338,1.17346,64,2,0
2025-07-23 09:33:00,1.17346,1.17349,1.17341,1.17344,72,2,0
2025-07-23 09:34:00,1.17344,1.1734499999999999,1.1733500000000001,1.17343,63,2,0
2025-07-23 09:35:00,1.17343,1.17343,1.17328,1.1733,59,2,0
2025-07-23 09:36:00,1.1733,1.1734,1.17329,1.17332,50,2,0
2025-07-23 09:37:00,1.17331,1.1734,1.17331,1.17339,34,2,0
2025-07-23 09:38:00,1.17339,1.1734,1.1733500000000001,1.17339,18,2,0
2025-07-23 09:39:00,1.17339,1.17343,1.17338,1.17342,21,2,0
2025-07-23 09:40:00,1.17342,1.17343,1.17333,1.17333,56,2,0
2025-07-23 09:41:00,1.17334,1.1734,1.17319,1.17334,55,2,0
2025-07-23 09:42:00,1.1733500000000001,1.17339,1.17329,1.17329,58,2,0
2025-07-23 09:43:00,1.17329,1.17332,1.17324,1.17326,41,2,0
2025-07-23 09:44:00,1.17326,1.1738,1.17323,1.1736900000000001,172,2,0
2025-07-23 09:45:00,1.1736900000000001,1.17371,1.17354,1.17361,45,2,0
2025-07-23 09:46:00,1.1736,1.17365,1.17351,1.17355,77,2,0
2025-07-23 09:47:00,1.17356,1.17366,1.17354,1.17355,63,2,0
2025-07-23 09:48:00,1.17356,1.17377,1.17356,1.17377,92,2,0
2025-07-23 09:49:00,1.17375,1.17382,1.17371,1.17375,56,2,0
2025-07-23 09:50:00,1.17374,1.17376,1.17367,1.17373,52,2,0
2025-07-23 09:51:00,1.17373,1.17374,1.17367,1.1736900000000001,75,2,0
2025-07-23 09:52:00,1.1736900000000001,1.17375,1.17359,1.17366,60,2,0
2025-07-23 09:53:00,1.17365,1.17371,1.17363,1.17364,42,2,0
2025-07-23 09:54:00,1.17364,1.17368,1.17359,1.17363,69,2,0
2025-07-23 09:55:00,1.17363,1.17367,1.17359,1.17365,85,2,0
2025-07-23 09:56:00,1.17365,1.17395,1.17365,1.17378,128,2,0
2025-07-23 09:57:00,1.17378,1.17378,1.17361,1.1736900000000001,108,2,0
2025-07-23 09:58:00,1.1737,1.17372,1.17363,1.17366,70,2,0
2025-07-23 09:59:00,1.17367,1.17368,1.1735,1.17359,100,2,0
2025-07-23 10:00:00,1.17359,1.17359,1.17349,1.17349,73,2,0
2025-07-23 10:01:00,1.17349,1.17349,1.17322,1.17323,88,2,0
2025-07-23 10:02:00,1.17322,1.17329,1.17305,1.17313,71,2,0
2025-07-23 10:03:00,1.17314,1.17327,1.17313,1.17324,71,2,0
2025-07-23 10:04:00,1.17324,1.17328,1.17321,1.17323,52,2,0
2025-07-23 10:05:00,1.17323,1.17325,1.17317,1.17317,34,2,0
2025-07-23 10:06:00,1.17317,1.17318,1.17314,1.17316,52,2,0
2025-07-23 10:07:00,1.17316,1.17323,1.17313,1.1732,48,2,0
2025-07-23 10:08:00,1.1732,1.17337,1.17304,1.17304,100,2,0
2025-07-23 10:09:00,1.17304,1.17311,1.17301,1.17306,55,2,0
2025-07-23 10:10:00,1.17306,1.17315,1.17301,1.17303,59,2,0
2025-07-23 10:11:00,1.17303,1.17305,1.17288,1.17288,66,2,0
2025-07-23 10:12:00,1.17288,1.17288,1.17277,1.17287,54,2,0
2025-07-23 10:13:00,1.17287,1.1729,1.1728,1.17281,71,2,0
2025-07-23 10:14:00,1.17282,1.17301,1.17282,1.17298,80,2,0
2025-07-23 10:15:00,1.17298,1.17301,1.17291,1.17299,69,2,0
2025-07-23 10:16:00,1.17299,1.17305,1.17296,1.17303,74,2,0
2025-07-23 10:17:00,1.17302,1.17309,1.17298,1.17304,72,2,0
2025-07-23 10:18:00,1.17304,1.17311,1.17298,1.17299,80,2,0
2025-07-23 10:19:00,1.17299,1.173,1.17283,1.17293,92,2,0
2025-07-23 10:20:00,1.17293,1.17297,1.17288,1.17288,44,2,0
2025-07-23 10:21:00,1.17288,1.17295,1.17287,1.17295,56,2,0
2025-07-23 10:22:00,1.17295,1.17298,1.17288,1.17298,50,2,0
2025-07-23 10:23:00,1.17298,1.17305,1.17293,1.17295,67,2,0
2025-07-23 10:24:00,1.17295,1.1730800000000001,1.17292,1.1730800000000001,73,2,0
2025-07-23 10:25:00,1.1730800000000001,1.17323,1.1730800000000001,1.1732,66,2,0
2025-07-23 10:26:00,1.1732,1.17326,1.17318,1.17322,57,2,0
2025-07-23 10:27:00,1.17323,1.17326,1.17317,1.17325,56,2,0
2025-07-23 10:28:00,1.17325,1.17339,1.17325,1.17339,92,2,0
2025-07-23 10:29:00,1.17339,1.17354,1.17339,1.17339,126,2,0
2025-07-23 10:30:00,1.17339,1.17366,1.17339,1.17351,141,2,0
2025-07-23 10:31:00,1.17351,1.17353,1.1733,1.1733,71,2,0
2025-07-23 10:32:00,1.1733,1.1734499999999999,1.17319,1.1732,107,2,0
2025-07-23 10:33:00,1.1732,1.17331,1.1731,1.17329,95,2,0
2025-07-23 10:34:00,1.17329,1.17329,1.17319,1.17329,35,2,0
2025-07-23 10:35:00,1.17329,1.17329,1.17318,1.17319,48,2,0
2025-07-23 10:36:00,1.17319,1.17328,1.17312,1.17325,59,2,0
2025-07-23 10:37:00,1.17325,1.17328,1.17319,1.1732,30,2,0
2025-07-23 10:38:00,1.17319,1.1732,1.1730800000000001,1.17314,47,2,0
2025-07-23 10:39:00,1.17314,1.17321,1.17311,1.17319,37,2,0
2025-07-23 10:40:00,1.17318,1.1733,1.17316,1.17317,36,2,0
2025-07-23 10:41:00,1.17317,1.17325,1.17314,1.17325,40,2,0
2025-07-23 10:42:00,1.17325,1.1733500000000001,1.17324,1.1733500000000001,41,2,0
2025-07-23 10:43:00,1.1733500000000001,1.1733500000000001,1.17326,1.17331,36,2,0
2025-07-23 10:44:00,1.17331,1.1733500000000001,1.17314,1.1733500000000001,40,2,0
2025-07-23 10:45:00,1.1733500000000001,1.17346,1.17334,1.17336,44,2,0
2025-07-23 10:46:00,1.17336,1.17339,1.17326,1.17329,40,2,0
2025-07-23 10:47:00,1.17329,1.17331,1.17325,1.17325,30,2,0
2025-07-23 10:48:00,1.17325,1.17327,1.17318,1.17324,35,2,0
2025-07-23 10:49:00,1.17324,1.17326,1.17314,1.17324,40,2,0
2025-07-23 10:50:00,1.17324,1.17331,1.17323,1.17329,45,2,0
2025-07-23 10:51:00,1.17329,1.1733,1.1732,1.1733,32,2,0
2025-07-23 10:52:00,1.1733,1.17334,1.17318,1.17323,58,2,0
2025-07-23 10:53:00,1.17323,1.17329,1.1727400000000001,1.17281,106,2,0
2025-07-23 10:54:00,1.17281,1.17281,1.17231,1.17253,157,2,0
2025-07-23 10:55:00,1.17253,1.17272,1.17253,1.17264,128,2,0
2025-07-23 10:56:00,1.17264,1.17267,1.17248,1.17253,117,2,0
2025-07-23 10:57:00,1.17253,1.1726,1.17248,1.17254,41,2,0
2025-07-23 10:58:00,1.17254,1.17267,1.17251,1.17257,42,2,0
2025-07-23 10:59:00,1.17258,1.17263,1.17254,1.1726,47,2,0
2025-07-23 11:00:00,1.1726,1.1726,1.17241,1.17242,51,2,0
2025-07-23 11:01:00,1.17242,1.17255,1.17242,1.17248,102,2,0
2025-07-23 11:02:00,1.17249,1.17257,1.17238,1.1724,125,2,0
2025-07-23 11:03:00,1.1724,1.17255,1.17239,1.17253,58,2,0
2025-07-23 11:04:00,1.17253,1.17262,1.17235,1.17262,93,2,0
2025-07-23 11:05:00,1.17261,1.17265,1.17258,1.17264,50,2,0
2025-07-23 11:06:00,1.17264,1.17266,1.1726,1.17265,58,2,0
2025-07-23 11:07:00,1.17265,1.17266,1.17253,1.17259,59,2,0
2025-07-23 11:08:00,1.17259,1.17272,1.1724999999999999,1.17265,172,2,0
2025-07-23 11:09:00,1.17264,1.17277,1.17262,1.17269,103,2,0
2025-07-23 11:10:00,1.17269,1.17273,1.17259,1.1727,109,2,0
2025-07-23 11:11:00,1.17271,1.17276,1.17259,1.17276,60,2,0
2025-07-23 11:12:00,1.17278,1.17285,1.17272,1.17275,97,2,0
2025-07-23 11:13:00,1.1727400000000001,1.17287,1.17251,1.17254,109,2,0
2025-07-23 11:14:00,1.17254,1.17256,1.17243,1.17249,71,2,0
2025-07-23 11:15:00,1.17249,1.17286,1.17249,1.17285,89,2,0
2025-07-23 11:16:00,1.1728399999999999,1.17294,1.17273,1.17281,71,2,0
2025-07-23 11:17:00,1.17281,1.17282,1.17264,1.17268,70,2,0
2025-07-23 11:18:00,1.17269,1.17277,1.17263,1.17264,40,2,0
2025-07-23 11:19:00,1.17264,1.17265,1.17257,1.17258,49,2,0
2025-07-23 11:20:00,1.17258,1.17262,1.17248,1.17258,56,2,0
2025-07-23 11:21:00,1.17258,1.17258,1.17245,1.17248,76,2,0
2025-07-23 11:22:00,1.17248,1.17259,1.17245,1.17257,74,2,0
2025-07-23 11:23:00,1.17257,1.1727,1.17253,1.17269,56,2,0
2025-07-23 11:24:00,1.17269,1.17282,1.17267,1.17272,86,2,0
2025-07-23 11:25:00,1.17273,1.17273,1.17261,1.17268,63,2,0
2025-07-23 11:26:00,1.17268,1.17269,1.17252,1.17256,74,2,0
2025-07-23 11:27:00,1.17256,1.17258,1.17245,1.1724999999999999,83,2,0
2025-07-23 11:28:00,1.1724999999999999,1.17265,1.1724999999999999,1.17261,43,2,0
2025-07-23 11:29:00,1.17262,1.1727,1.17256,1.17261,71,2,0
2025-07-23 11:30:00,1.17261,1.17276,1.1726,1.1727400000000001,97,2,0
2025-07-23 11:31:00,1.1727400000000001,1.17276,1.17254,1.17255,61,2,0
2025-07-23 11:32:00,1.17255,1.1726,1.17252,1.17253,41,2,0
2025-07-23 11:33:00,1.17253,1.17259,1.17248,1.17259,52,2,0
2025-07-23 11:34:00,1.17259,1.17269,1.17259,1.17264,79,2,0
2025-07-23 11:35:00,1.17264,1.17275,1.1724700000000001,1.1727400000000001,62,2,0
2025-07-23 11:36:00,1.1727400000000001,1.17278,1.17272,1.17276,54,2,0
2025-07-23 11:37:00,1.17275,1.17276,1.17255,1.17273,53,2,0
2025-07-23 11:38:00,1.17273,1.1727400000000001,1.17262,1.17269,56,2,0
2025-07-23 11:39:00,1.1727,1.17276,1.17267,1.1727400000000001,29,2,0
2025-07-23 11:40:00,1.1727400000000001,1.17294,1.17272,1.17294,88,2,0
2025-07-23 11:41:00,1.17294,1.17297,1.17279,1.17281,83,2,0
2025-07-23 11:42:00,1.17281,1.1728399999999999,1.1727,1.17279,72,2,0
2025-07-23 11:43:00,1.17279,1.17302,1.17279,1.17297,95,2,0
2025-07-23 11:44:00,1.17297,1.17313,1.17297,1.17305,124,2,0
2025-07-23 11:45:00,1.17305,1.17305,1.17283,1.1728399999999999,97,2,0
2025-07-23 11:46:00,1.1728399999999999,1.17289,1.17282,1.17288,65,2,0
2025-07-23 11:47:00,1.17288,1.17289,1.17273,1.1727400000000001,46,2,0
2025-07-23 11:48:00,1.1727400000000001,1.17278,1.17264,1.17277,62,2,0
2025-07-23 11:49:00,1.17277,1.17294,1.17277,1.17289,58,2,0
2025-07-23 11:50:00,1.17289,1.1729,1.1728399999999999,1.17286,40,2,0
2025-07-23 11:51:00,1.17285,1.17291,1.1728,1.17289,58,2,0
2025-07-23 11:52:00,1.17289,1.17291,1.17283,1.1729,69,2,0
2025-07-23 11:53:00,1.1729,1.17293,1.17286,1.1729,49,2,0
2025-07-23 11:54:00,1.1729,1.17292,1.17287,1.1729,44,2,0
2025-07-23 11:55:00,1.1729,1.17313,1.1728399999999999,1.17307,104,2,0
2025-07-23 11:56:00,1.17307,1.1731,1.17288,1.1729,112,2,0
2025-07-23 11:57:00,1.17289,1.17296,1.17269,1.1727400000000001,175,2,0
2025-07-23 11:58:00,1.17275,1.17288,1.17262,1.1727400000000001,150,2,0
2025-07-23 11:59:00,1.1727400000000001,1.17275,1.17256,1.17257,94,2,0
2025-07-23 12:00:00,1.17257,1.17265,1.17242,1.17263,140,2,0
2025-07-23 12:01:00,1.17264,1.17276,1.17261,1.1727400000000001,136,2,0
2025-07-23 12:02:00,1.1727400000000001,1.17292,1.17264,1.17292,123,2,0
2025-07-23 12:03:00,1.17292,1.17297,1.17285,1.17286,57,2,0
2025-07-23 12:04:00,1.17286,1.17293,1.1728399999999999,1.17289,90,2,0
2025-07-23 12:05:00,1.17289,1.17289,1.17281,1.1728399999999999,55,2,0
2025-07-23 12:06:00,1.1728399999999999,1.17285,1.17273,1.1728,66,2,0
2025-07-23 12:07:00,1.1728,1.17282,1.17269,1.17273,54,2,0
2025-07-23 12:08:00,1.17273,1.17277,1.17264,1.17264,48,2,0
2025-07-23 12:09:00,1.17265,1.17271,1.17261,1.17264,75,2,0
2025-07-23 12:10:00,1.17264,1.17281,1.17262,1.1728,62,2,0
2025-07-23 12:11:00,1.17281,1.17281,1.17269,1.17276,70,2,0
2025-07-23 12:12:00,1.17276,1.1728,1.17269,1.1728,60,2,0
2025-07-23 12:13:00,1.1728,1.17282,1.1727400000000001,1.17281,51,2,0
2025-07-23 12:14:00,1.17281,1.1728399999999999,1.17276,1.1728,56,2,0
2025-07-23 12:15:00,1.17281,1.17287,1.17279,1.17281,66,2,0
2025-07-23 12:16:00,1.17281,1.17309,1.17281,1.17301,91,2,0
2025-07-23 12:17:00,1.17301,1.17304,1.1729,1.17297,64,2,0
2025-07-23 12:18:00,1.17297,1.17311,1.17296,1.17311,70,2,0
2025-07-23 12:19:00,1.17311,1.17329,1.17311,1.17326,91,2,0
2025-07-23 12:20:00,1.17326,1.17333,1.17309,1.1731,91,2,0
2025-07-23 12:21:00,1.1731,1.17311,1.1728,1.17281,97,2,0
2025-07-23 12:22:00,1.1728,1.173,1.1728,1.17295,60,2,0
2025-07-23 12:23:00,1.17295,1.17301,1.17293,1.17294,35,2,0
2025-07-23 12:24:00,1.17293,1.173,1.17287,1.17292,59,2,0
2025-07-23 12:25:00,1.17292,1.173,1.17283,1.17283,60,2,0
2025-07-23 12:26:00,1.17283,1.1728399999999999,1.17265,1.17271,59,2,0
2025-07-23 12:27:00,1.17271,1.17271,1.17253,1.17254,45,2,0
2025-07-23 12:28:00,1.17253,1.17264,1.1724700000000001,1.17263,80,2,0
2025-07-23 12:29:00,1.17264,1.17264,1.17252,1.17254,76,2,0
2025-07-23 12:30:00,1.17254,1.17256,1.17242,1.17245,78,2,0
2025-07-23 12:31:00,1.17245,1.17248,1.17202,1.17208,91,2,0
2025-07-23 12:32:00,1.17207,1.17243,1.17202,1.17242,102,2,0
2025-07-23 12:33:00,1.17241,1.17256,1.17239,1.17243,95,2,0
2025-07-23 12:34:00,1.17244,1.17251,1.17243,1.17246,98,2,0
2025-07-23 12:35:00,1.17246,1.17249,1.17234,1.17236,63,2,0
2025-07-23 12:36:00,1.17234,1.17244,1.1723,1.17231,58,2,0
2025-07-23 12:37:00,1.17231,1.17231,1.1721300000000001,1.17218,77,2,0
2025-07-23 12:38:00,1.17218,1.17231,1.17218,1.17229,55,2,0
2025-07-23 12:39:00,1.17229,1.17231,1.1722299999999999,1.17225,42,2,0
2025-07-23 12:40:00,1.17225,1.17229,1.1722299999999999,1.17229,59,2,0
2025-07-23 12:41:00,1.17228,1.1723,1.1722299999999999,1.17224,70,2,0
2025-07-23 12:42:00,1.17224,1.17233,1.1722299999999999,1.17224,52,2,0
2025-07-23 12:43:00,1.17225,1.17238,1.1721,1.17237,78,2,0
2025-07-23 12:44:00,1.17237,1.1724,1.17224,1.17229,75,2,0
2025-07-23 12:45:00,1.1723,1.1724999999999999,1.1723,1.17234,89,2,0
2025-07-23 12:46:00,1.17235,1.17258,1.17235,1.17249,62,2,0
2025-07-23 12:47:00,1.17248,1.17248,1.1723,1.1723,113,2,0
2025-07-23 12:48:00,1.1723,1.17258,1.17227,1.17258,87,2,0
2025-07-23 12:49:00,1.17256,1.17268,1.17245,1.17254,121,2,0
2025-07-23 12:50:00,1.17254,1.17255,1.17237,1.17239,90,2,0
2025-07-23 12:51:00,1.17239,1.17239,1.17231,1.17235,77,2,0
2025-07-23 12:52:00,1.17235,1.17246,1.17235,1.17245,50,2,0
2025-07-23 12:53:00,1.17245,1.17246,1.1724,1.17245,49,2,0
2025-07-23 12:54:00,1.17245,1.17246,1.17227,1.17229,100,2,0
2025-07-23 12:55:00,1.17229,1.17246,1.17229,1.1724,89,2,0
2025-07-23 12:56:00,1.1724,1.17246,1.17238,1.17242,76,2,0
2025-07-23 12:57:00,1.17242,1.17249,1.17235,1.17244,115,2,0
2025-07-23 12:58:00,1.17241,1.17265,1.17236,1.17251,105,2,0
2025-07-23 12:59:00,1.17251,1.17251,1.17237,1.1724999999999999,96,2,0
2025-07-23 13:00:00,1.17249,1.17271,1.17239,1.17255,152,2,0
2025-07-23 13:01:00,1.17255,1.17265,1.17239,1.17243,149,2,0
2025-07-23 13:02:00,1.17243,1.17243,1.17228,1.17229,71,2,0
2025-07-23 13:03:00,1.17229,1.1723,1.17209,1.17214,88,2,0
2025-07-23 13:04:00,1.17214,1.17215,1.17185,1.17185,134,2,0
2025-07-23 13:05:00,1.17185,1.17185,1.17151,1.17165,120,2,0
2025-07-23 13:06:00,1.17165,1.17169,1.1716,1.17165,107,2,0
2025-07-23 13:07:00,1.17165,1.17207,1.17165,1.17195,143,2,0
2025-07-23 13:08:00,1.17194,1.17195,1.17174,1.17185,93,2,0
2025-07-23 13:09:00,1.17185,1.17226,1.17184,1.17226,144,2,0
2025-07-23 13:10:00,1.17226,1.1724700000000001,1.17221,1.17235,144,2,0
2025-07-23 13:11:00,1.17235,1.17242,1.17224,1.1723,77,2,0
2025-07-23 13:12:00,1.1723,1.17241,1.17224,1.17239,70,2,0
2025-07-23 13:13:00,1.17239,1.17245,1.17225,1.17241,131,2,0
2025-07-23 13:14:00,1.1724,1.17256,1.17239,1.1724999999999999,67,2,0
2025-07-23 13:15:00,1.1724999999999999,1.17281,1.1724999999999999,1.17278,112,2,0
2025-07-23 13:16:00,1.17281,1.17282,1.17267,1.17272,59,2,0
2025-07-23 13:17:00,1.17273,1.17296,1.17272,1.1728399999999999,61,2,0
2025-07-23 13:18:00,1.1728399999999999,1.1729,1.17253,1.17266,92,2,0
2025-07-23 13:19:00,1.17266,1.17303,1.17259,1.17259,130,2,0
2025-07-23 13:20:00,1.17259,1.17265,1.17243,1.17264,76,2,0
2025-07-23 13:21:00,1.17263,1.1727,1.17258,1.17259,47,2,0
2025-07-23 13:22:00,1.1726,1.1726,1.1724,1.1724,53,2,0
2025-07-23 13:23:00,1.17241,1.17251,1.17228,1.1724999999999999,79,2,0
2025-07-23 13:24:00,1.1724999999999999,1.17256,1.17244,1.17251,55,2,0
2025-07-23 13:25:00,1.17251,1.17251,1.17237,1.17239,50,2,0
2025-07-23 13:26:00,1.17239,1.17244,1.17231,1.1724,66,2,0
2025-07-23 13:27:00,1.17239,1.17245,1.1723,1.1724,55,2,0
2025-07-23 13:28:00,1.1724,1.1724,1.17224,1.17235,61,2,0
2025-07-23 13:29:00,1.17236,1.1724,1.1722,1.17222,112,2,0
2025-07-23 13:30:00,1.17222,1.17232,1.1721300000000001,1.17229,79,2,0
2025-07-23 13:31:00,1.17229,1.17231,1.17202,1.17205,103,2,0
2025-07-23 13:32:00,1.17205,1.1722299999999999,1.17198,1.17198,112,2,0
2025-07-23 13:33:00,1.17198,1.17199,1.17163,1.17163,149,2,0
2025-07-23 13:34:00,1.17163,1.17177,1.17158,1.1716,117,2,0
2025-07-23 13:35:00,1.1716,1.1716199999999999,1.17113,1.17113,128,2,0
2025-07-23 13:36:00,1.17113,1.17124,1.1711,1.1711,158,2,0
2025-07-23 13:37:00,1.17111,1.1712799999999999,1.17111,1.17119,140,2,0
2025-07-23 13:38:00,1.17119,1.17138,1.17116,1.17124,110,2,0
2025-07-23 13:39:00,1.1712500000000001,1.17138,1.17124,1.1712799999999999,75,2,0
2025-07-23 13:40:00,1.1712799999999999,1.1713,1.17119,1.1712500000000001,130,2,0
2025-07-23 13:41:00,1.1712500000000001,1.1717,1.17122,1.1716199999999999,165,2,0
2025-07-23 13:42:00,1.17159,1.17191,1.17158,1.1719,134,2,0
2025-07-23 13:43:00,1.1718899999999999,1.1718899999999999,1.17155,1.17155,121,2,0
2025-07-23 13:44:00,1.17155,1.17174,1.17155,1.17167,110,2,0
2025-07-23 13:45:00,1.17167,1.17179,1.17161,1.17173,118,2,0
2025-07-23 13:46:00,1.17173,1.17174,1.1716,1.17163,102,2,0
2025-07-23 13:47:00,1.17163,1.17174,1.17163,1.17169,79,2,0
2025-07-23 13:48:00,1.17169,1.17187,1.17167,1.17175,92,2,0
2025-07-23 13:49:00,1.17175,1.17191,1.17175,1.17187,58,2,0
2025-07-23 13:50:00,1.1718600000000001,1.17195,1.17184,1.17192,62,2,0
2025-07-23 13:51:00,1.17192,1.17195,1.17165,1.17193,125,2,0
2025-07-23 13:52:00,1.17192,1.17235,1.17191,1.17227,177,2,0
2025-07-23 13:53:00,1.17227,1.17234,1.17214,1.17233,160,2,0
2025-07-23 13:54:00,1.17234,1.17255,1.17234,1.17239,132,2,0
2025-07-23 13:55:00,1.17239,1.17244,1.17233,1.17236,97,2,0
2025-07-23 13:56:00,1.17234,1.17245,1.17234,1.17244,71,2,0
2025-07-23 13:57:00,1.17244,1.17251,1.17237,1.17251,97,2,0
2025-07-23 13:58:00,1.17251,1.17267,1.17251,1.17262,105,2,0
2025-07-23 13:59:00,1.17263,1.17281,1.1726,1.17264,134,2,0
2025-07-23 14:00:00,1.17264,1.17278,1.17257,1.1727400000000001,149,2,0
2025-07-23 14:01:00,1.1727400000000001,1.1728399999999999,1.17264,1.17269,67,2,0
2025-07-23 14:02:00,1.17269,1.1729,1.17268,1.17281,107,2,0
2025-07-23 14:03:00,1.17281,1.17289,1.17277,1.17289,89,2,0
2025-07-23 14:04:00,1.17289,1.17331,1.17289,1.1733,147,2,0
2025-07-23 14:05:00,1.1733,1.17346,1.17318,1.17346,144,2,0
2025-07-23 14:06:00,1.17346,1.17352,1.17324,1.1733500000000001,142,2,0
2025-07-23 14:07:00,1.1733500000000001,1.17351,1.17332,1.1735,98,2,0
2025-07-23 14:08:00,1.1735,1.17355,1.17338,1.17338,107,2,0
2025-07-23 14:09:00,1.17338,1.17339,1.17328,1.17332,91,2,0
2025-07-23 14:10:00,1.17332,1.17349,1.17329,1.17331,90,2,0
2025-07-23 14:11:00,1.17331,1.1734499999999999,1.17326,1.17336,81,2,0
2025-07-23 14:12:00,1.17336,1.1735,1.17333,1.17333,79,2,0
2025-07-23 14:13:00,1.17333,1.17347,1.17333,1.17341,54,2,0
2025-07-23 14:14:00,1.1734,1.17341,1.17299,1.17301,102,2,0
2025-07-23 14:15:00,1.17301,1.17304,1.17275,1.17275,91,2,0
2025-07-23 14:16:00,1.17276,1.17282,1.1727,1.17279,77,2,0
2025-07-23 14:17:00,1.17279,1.17279,1.17259,1.17265,70,2,0
2025-07-23 14:18:00,1.17265,1.17276,1.17259,1.17273,75,2,0
2025-07-23 14:19:00,1.17273,1.17285,1.17267,1.17281,94,2,0
2025-07-23 14:20:00,1.17281,1.17292,1.17279,1.17283,95,2,0
2025-07-23 14:21:00,1.17283,1.1728399999999999,1.17251,1.17254,81,2,0
2025-07-23 14:22:00,1.17254,1.17254,1.17245,1.17252,29,2,0
